"","age_mortality_id","x","list_x_units","n","ax","cap_nx","cap_dx","mx","lx_real","lx_stand","dx_real","dx_stand","px","qx","mjux","cap_lx_real","cap_lx_stand","ex","smoothed","animal","age_scaled","age_proportion"
"184","DL00080_TryonLT18.csv",2,NA,13,0.5,NA,NA,NA,12,0.9231,4,0.3077,0.6667,0.3333,0.4055,NA,0.7693,3.0834,NA,"Eastern chipmunk (Tamius striatus)",-0.47442723797074,0.2
"185","DL00080_TryonLT08.csv",0,NA,15,0.5,NA,NA,NA,15,1,5,0.3333,0.6667,0.3333,0.4054,NA,0.8334,2.6,NA,"Eastern chipmunk (Tamius striatus)",-1.2477325251549,0
"186","DL00080_TryonLT12.csv",0,NA,18,0.5,NA,NA,NA,18,1,6,0.3333,0.6667,0.3333,0.4054,NA,0.8334,1.6945,NA,"Eastern chipmunk (Tamius striatus)",-1.2477325251549,0
"187","DL00080_TryonLT21.csv",0,NA,12,0.5,NA,NA,NA,12,1,4,0.3333,0.6667,0.3333,0.4054,NA,0.8334,2.7084,NA,"Eastern chipmunk (Tamius striatus)",-1.2477325251549,0
"188","DL00080_TryonLT51.csv",0,NA,9,0.5,NA,NA,NA,9,1,3,0.3333,0.6667,0.3333,0.4054,NA,0.8334,1.7778,NA,"Eastern chipmunk (Tamius striatus)",-1.2477325251549,0
"189","DL00080_TryonLT20.csv",6,NA,14,0.5,NA,NA,NA,3,0.2143,1,0.0714,0.6668,0.3332,0.4052,NA,0.1786,2.1671,NA,"Eastern chipmunk (Tamius striatus)",1.07218333639757,0.6
"190","DL00080_TryonLT02.csv",2,NA,17,0.5,NA,NA,NA,6,0.3529,2,0.1176,0.6668,0.3332,0.4053,NA,0.2941,2.5833,NA,"Eastern chipmunk (Tamius striatus)",-0.47442723797074,0.2
"191","DL00080_TryonLT23.csv",4,NA,27,0.5,NA,NA,NA,3,0.1111,1,0.037,0.667,0.333,0.405,NA,0.0926,1.6665,NA,"Eastern chipmunk (Tamius striatus)",0.298878049213417,0.4
"192","DL00080_TryonLT03.csv",0,NA,19,0.5,NA,NA,NA,19,1,6,0.3158,0.6842,0.3158,0.3795,NA,0.8421,2.3684,NA,"Eastern chipmunk (Tamius striatus)",-1.2477325251549,0
"193","DL00080_TryonLT09.csv",0,NA,29,0.5,NA,NA,NA,29,1,9,0.3103,0.6897,0.3103,0.3715,NA,0.8449,2.4484,NA,"Eastern chipmunk (Tamius striatus)",-1.2477325251549,0
"194","DL00080_TryonLT26.csv",1,NA,25,0.5,NA,NA,NA,13,0.52,4,0.16,0.6923,0.3077,0.3677,NA,0.44,2.4615,NA,"Eastern chipmunk (Tamius striatus)",-0.861079881562819,0.1
"195","DL00080_TryonLT19.csv",1,NA,21,0.5,NA,NA,NA,20,0.9524,6,0.2857,0.7,0.3,0.3566,NA,0.8096,3.1249,NA,"Eastern chipmunk (Tamius striatus)",-0.861079881562819,0.1
"196","DL00080_TryonLT04.csv",0,NA,10,0.5,NA,NA,NA,10,1,3,0.3,0.7,0.3,0.3567,NA,0.85,4.05,NA,"Eastern chipmunk (Tamius striatus)",-1.2477325251549,0
"197","DL00080_TryonLT06.csv",0,NA,20,0.5,NA,NA,NA,20,1,6,0.3,0.7,0.3,0.3567,NA,0.85,4.825,NA,"Eastern chipmunk (Tamius striatus)",-1.2477325251549,0
"198","DL00080_TryonLT35.csv",2,NA,13,0.5,NA,NA,NA,10,0.7692,3,0.2307,0.7001,0.2999,0.3566,NA,0.6539,1.9501,NA,"Eastern chipmunk (Tamius striatus)",-0.47442723797074,0.2
"199","DL00080_TryonLT62.csv",0,NA,54,0.5,NA,NA,NA,54,1,16,0.2963,0.7037,0.2963,0.3514,NA,0.8519,1.5185,NA,"Eastern chipmunk (Tamius striatus)",-1.2477325251549,0
"200","DL00080_TryonLT49.csv",2,NA,69,0.5,NA,NA,NA,27,0.3913,8,0.1159,0.7038,0.2962,0.3512,NA,0.3334,1.5929,NA,"Eastern chipmunk (Tamius striatus)",-0.47442723797074,0.2
"201","DL00080_TryonLT41.csv",3,NA,35,0.5,NA,NA,NA,17,0.4857,5,0.1428,0.706,0.294,0.3482,NA,0.4143,2.3824,NA,"Eastern chipmunk (Tamius striatus)",-0.0877745943786614,0.3
"202","DL00080_TryonLT35.csv",3,NA,13,0.5,NA,NA,NA,7,0.5385,2,0.1539,0.7142,0.2858,0.3366,NA,0.4616,1.5713,NA,"Eastern chipmunk (Tamius striatus)",-0.0877745943786614,0.3
"203","DL00080_TryonLT19.csv",5,NA,21,0.5,NA,NA,NA,7,0.3333,2,0.0952,0.7144,0.2856,0.3364,NA,0.2857,2.7145,NA,"Eastern chipmunk (Tamius striatus)",0.685530692805496,0.5
"204","DL00080_TryonLT27.csv",4,NA,48,0.5,NA,NA,NA,7,0.1458,2,0.0416,0.7147,0.2853,0.3359,NA,0.125,1.8577,NA,"Eastern chipmunk (Tamius striatus)",0.298878049213417,0.4
"205","DL00080_TryonLT23.csv",1,NA,27,0.5,NA,NA,NA,8,0.2963,2,0.0741,0.7499,0.2501,0.2878,NA,0.2593,2.5621,NA,"Eastern chipmunk (Tamius striatus)",-0.861079881562819,0.1
